Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
UVXY,481746,1700,18.24,100,18.23,18.25,470992,10754
ARKG,225605,700,22.60,200,22.59,22.59,225530,75
IEFA,186873,5400,61.73,6100,61.72,61.71,186273,600
VXX,160274,1200,25.62,200,25.61,25.67,156694,3580
INDA,99525,1775,43.15,400,43.14,43.14,97702,1823
COWZ,97070,100,47.29,1500,47.28,47.28,95968,1102
GOVT,86740,73252,21.79,219466,21.78,21.79,86740,0
SVIX,79658,200,24.03,500,24.01,23.98,76608,3050
VIXY,70700,501,25.60,200,25.59,25.63,69796,904
ITB,69357,250,72.09,50,72.06,72.08,69027,330
ECH,64727,200,24.72,650,24.70,24.72,64727,0
UVIX,63924,100,39.83,100,39.80,39.88,61101,2823
SPYI,62111,600,45.33,500,45.27,45.32,62111,0
EZU,56817,400,40.63,9300,40.62,40.62,56578,239
IDV,55342,800,24.65,2000,24.64,24.64,55342,0
USHY,54558,4700,34.17,4000,34.16,34.16,54558,0
SVXY,48916,100,80.95,200,80.92,80.90,48855,61
MOAT,41699,300,71.31,200,71.30,71.30,41699,0
USMV,41453,300,71.13,400,71.12,71.12,40750,703
CALF,40192,800,39.28,400,39.25,39.18,39228,964
IGV,36661,100,329.86,25,329.78,329.69,36661,0
RPHS,35102,900,8.57,10800,8.44,8.46,35102,0
PAVE,32850,200,28.33,557,28.31,28.31,32074,776
EFV,31850,600,46.94,300,46.93,46.91,31750,100
ICSH,29528,4975,50.39,4300,50.38,50.39,29528,0
RDVI,28779,3500,19.98,1000,19.95,19.93,28779,0
REM,23473,100,19.39,200,19.38,19.41,23473,0
VNM,21078,825,12.11,2000,12.10,12.10,19880,1198
CBOE,19894,125,163.50,25,163.31,163.43,19894,0
JUCY,19564,700,24.10,100,24.08,24.11,19564,0
BBJP,17326,700,48.39,300,48.38,48.39,16826,500
QUAL,17210,500,128.28,250,128.25,128.34,17181,29
FLOT,16541,5965,50.87,11436,50.86,50.86,16541,0
ICLO,14600,200,25.51,600,25.47,25.48,14600,0
IFRA,13992,500,34.80,600,34.71,34.75,13992,0
FMIL,13930,900,31.41,200,31.33,31.30,13740,190
MTUM,13254,100,136.10,100,136.04,136.04,10192,3062
IAGG,12889,338,48.71,200,48.69,48.70,12380,509
EFG,12419,800,83.10,300,83.05,83.07,12419,0
EEMV,11855,2500,51.55,600,51.54,51.54,11855,0
BBEU,11638,2100,49.04,800,49.02,49.05,11466,172
YJUN,11229,425,19.36,25,19.31,19.33,11229,0
ITA,10815,300,107.67,300,107.60,107.58,10815,0
ACWV,10736,3,93.71,200,93.68,93.72,10736,0
NOBL,10705,800,84.95,2300,84.89,84.90,10705,0
VLUE,10358,600,86.66,500,86.64,86.59,10358,0
YMAR,9893,400,19.78,100,19.73,19.85,9893,0
KNG,9070,100,47.09,200,47.05,47.12,9070,0
VUSB,8676,3210,49.22,1427,49.21,49.21,6383,2293
HYD,8302,200,47.96,383,47.92,47.94,8302,0
OMFL,7698,400,43.45,100,43.43,43.43,7678,20
HEFA,7527,400,29.01,1200,29.00,29.00,7527,0
BITX,6352,6000,16.60,6000,16.57,16.58,6352,0
DISV,6265,167,22.67,2000,22.62,22.62,6265,0
TLTW,6097,1400,27.24,602,27.22,27.23,5567,530
