title,link,label
russia blame ukraine west dagestan airport unrest al jazeera english,https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy8yMDIzLzEwLzMwL3J1c3NpYS1hbGxlZ2VzLWV4dGVybmFsLWluZmx1ZW5jZS1pbi1hbnRpLWlzcmFlbC1haXJwb3J0LXJpb3TSAWtodHRwczovL3d3dy5hbGphemVlcmEuY29tL2FtcC9uZXdzLzIwMjMvMTAvMzAvcnVzc2lhLWFsbGVnZXMtZXh0ZXJuYWwtaW5mbHVlbmNlLWluLWFudGktaXNyYWVsLWFpcnBvcnQtcmlvdA?oc=5,Negative
israeli force make major advance toward gaza city wall street journal,https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3Lndzai5jb20vd29ybGQvbWlkZGxlLWVhc3QvaXNyYWVsLW1ha2VzLW1ham9yLWFkdmFuY2UtdG93YXJkLWdhemEtY2l0eS0yMzM5YTJiNtIBAA?oc=5,Neutral
germanisraeli shani louk seen paraded terrorist gaza confirmed dead time israel,https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3LnRpbWVzb2Zpc3JhZWwuY29tL2dlcm1hbi1pc3JhZWxpLXNoYW5pLWxvdWstc2Vlbi1wYXJhZGVkLWJ5LXRlcnJvcmlzdHMtaW4tZ2F6YS1jb25maXJtZWQtZGVhZC_SAW5odHRwczovL3d3dy50aW1lc29maXNyYWVsLmNvbS9nZXJtYW4taXNyYWVsaS1zaGFuaS1sb3VrLXNlZW4tcGFyYWRlZC1ieS10ZXJyb3Jpc3RzLWluLWdhemEtY29uZmlybWVkLWRlYWQvYW1wLw?oc=5,Negative
hamas release video israeli hostage gaza demanding netanyahu agree prisoner swap cbs news,https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vd3d3LmNic25ld3MuY29tL25ld3MvaGFtYXMtdmlkZW8taXNyYWVsLWhvc3RhZ2VzLWdhemEtZGVtYW5kLW5ldGFueWFodS1hZ3JlZS1wcmlzb25lci1zd2FwL9IBAA?oc=5,Negative
china russia condemn u beijing xiangshan forum washington post,https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS93b3JsZC8yMDIzLzEwLzMwL3hpYW5nc2hhbi1mb3J1bS1jaGluYS1ydXNzaWEv0gEA?oc=5,Negative
resident hurricanehit mexican region desperate aid voice america,https://news.google.com/rss/articles/CCAiC2tJZ2JhZ2pERFZvmAEB?oc=5,Negative
israel ramp ground war hamas say death toll gaza strip soared cbs news,https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmNic25ld3MuY29tL25ld3MvaXNyYWVsLXdhci1oYW1hcy1zYXlzLWdhemEtZGVhdGgtdG9sbC04MDAwLWlkZi1ncm91bmQtdHJvb3BzL9IBXmh0dHBzOi8vd3d3LmNic25ld3MuY29tL2FtcC9uZXdzL2lzcmFlbC13YXItaGFtYXMtc2F5cy1nYXphLWRlYXRoLXRvbGwtODAwMC1pZGYtZ3JvdW5kLXRyb29wcy8?oc=5,Negative
bilal went harvest olive israeli settler shot al jazeera english,https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vZmVhdHVyZXMvMjAyMy8xMC8zMC9iaWxhbC13ZW50LW91dC10by1oYXJ2ZXN0LWhpcy1vbGl2ZXMtYW4taXNyYWVsaS1zZXR0bGVyLXNob3QtaGlt0gFyaHR0cHM6Ly93d3cuYWxqYXplZXJhLmNvbS9hbXAvZmVhdHVyZXMvMjAyMy8xMC8zMC9iaWxhbC13ZW50LW91dC10by1oYXJ2ZXN0LWhpcy1vbGl2ZXMtYW4taXNyYWVsaS1zZXR0bGVyLXNob3QtaGlt?oc=5,Neutral
israeli troop enter gaza new york time,https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjMvMTAvMzAvcG9kY2FzdHMvdGhlLWRhaWx5L2lzcmFlbC1pbnZhc2lvbi1nYXphLmh0bWzSAQA?oc=5,Neutral
biden sisi agree gazans shouldnt displaced egypt bloomberg,https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTEwLTMwL2JpZGVuLWFuZC1zaXNpLWFncmVlLWdhemFucy1zaG91bGRuLXQtYmUtZGlzcGxhY2VkLXRvLWVneXB00gEA?oc=5,Positive
iran arrest lawyer funeral girl died metro incident guardian,https://news.google.com/rss/articles/CBMihQFodHRwczovL3d3dy50aGVndWFyZGlhbi5jb20vd29ybGQvMjAyMy9vY3QvMzAvaXJhbi1hcnJlc3RzLXRvcC1yaWdodHMtbGF3eWVyLWF0LWZ1bmVyYWwtb2YtdGVlbmFnZS1naXJsLXdoby1kaWVkLWFmdGVyLW1ldHJvLWluY2lkZW500gGFAWh0dHBzOi8vYW1wLnRoZWd1YXJkaWFuLmNvbS93b3JsZC8yMDIzL29jdC8zMC9pcmFuLWFycmVzdHMtdG9wLXJpZ2h0cy1sYXd5ZXItYXQtZnVuZXJhbC1vZi10ZWVuYWdlLWdpcmwtd2hvLWRpZWQtYWZ0ZXItbWV0cm8taW5jaWRlbnQ?oc=5,Negative
least dead train collide southeast india cnn,https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8xMC8yOS9hc2lhL2luZGlhLXZpemlhbmFnYXJhbS10cmFpbi1jb2xsaXNpb24tZGVhdGhzL2luZGV4Lmh0bWzSAVxodHRwczovL2FtcC5jbm4uY29tL2Nubi8yMDIzLzEwLzI5L2FzaWEvaW5kaWEtdml6aWFuYWdhcmFtLXRyYWluLWNvbGxpc2lvbi1kZWF0aHMvaW5kZXguaHRtbA?oc=5,Positive
atiku reacts scourt judgement fubara vow resistance lunchtime politics channel television,https://news.google.com/rss/articles/CCAiC2VaNGxaUHJCTFhrmAEB?oc=5,Neutral
reap sow iran mock joe biden u troop attacked mideast hindustan time,https://news.google.com/rss/articles/CBMimQFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vd29ybGQtbmV3cy9qb2UtYmlkZW4tbmV3cy15b3UtcmVhcC13aGF0LXlvdS1zb3ctaXJhbi1tb2Nrcy1qb2UtYmlkZW4tYXMtdXMtdHJvb3BzLWF0dGFja2VkLWluLW1pZGVhc3QtMTAxNjk4NjY0NjY0NjEwLmh0bWzSAZ0BaHR0cHM6Ly93d3cuaGluZHVzdGFudGltZXMuY29tL3dvcmxkLW5ld3Mvam9lLWJpZGVuLW5ld3MteW91LXJlYXAtd2hhdC15b3Utc293LWlyYW4tbW9ja3Mtam9lLWJpZGVuLWFzLXVzLXRyb29wcy1hdHRhY2tlZC1pbi1taWRlYXN0LTEwMTY5ODY2NDY2NDYxMC1hbXAuaHRtbA?oc=5,Negative
infosys founder narayana murthy want young worker hour work weekand think matter national pride fortune,https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vZm9ydHVuZS5jb20vMjAyMy8xMC8zMC9pbmZvc3lzLWZvdW5kZXItbmFyYXlhbmEtbXVydGh5LXlvdW5nLWluZGlhbnMtNzAtaG91ci13b3JrLXdlZWsv0gFjaHR0cHM6Ly9mb3J0dW5lLmNvbS8yMDIzLzEwLzMwL2luZm9zeXMtZm91bmRlci1uYXJheWFuYS1tdXJ0aHkteW91bmctaW5kaWFucy03MC1ob3VyLXdvcmstd2Vlay9hbXAv?oc=5,Positive
israel step gaza ground attack million palestinian trapped today,https://news.google.com/rss/articles/CCAiC1FGMzlHYzVDdWRzmAEB?oc=5,Negative
russia shoigu accuses west seeking expand ukraine war asiapacific reuters,https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL3J1c3NpYXMtc2hvaWd1LXdhcm5zLXdlc3QtZGlyZWN0LW1pbGl0YXJ5LWNsYXNoLWJldHdlZW4tbnVjbGVhci1wb3dlcnMtMjAyMy0xMC0zMC_SAQA?oc=5,Negative
jordan asks u deploy patriot defense system amid hamasisrael war jitter time israel,https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LnRpbWVzb2Zpc3JhZWwuY29tL2pvcmRhbi1hc2tzLXVzLXRvLWRlcGxveS1wYXRyaW90LWRlZmVuc2Utc3lzdGVtLWFtaWQtaGFtYXMtaXNyYWVsLXdhci1qaXR0ZXJzL9IBcGh0dHBzOi8vd3d3LnRpbWVzb2Zpc3JhZWwuY29tL2pvcmRhbi1hc2tzLXVzLXRvLWRlcGxveS1wYXRyaW90LWRlZmVuc2Utc3lzdGVtLWFtaWQtaGFtYXMtaXNyYWVsLXdhci1qaXR0ZXJzL2FtcC8?oc=5,Negative
